n_est,bootstrap,max_depth,min_impurity_decrease,min_samples_leaf
200,True,,0.0,3,0.8463500029963605
200,True,,0.0,10,0.8434630694357735
200,True,,0.1,2,0.7591903223094146
200,True,,0.1,3,0.7591903223094146
200,True,,0.1,10,0.7591903223094146
200,True,10,0.0,2,0.8401461755360892
200,True,10,0.0,3,0.839685498893299
200,True,10,0.0,10,0.8391019740138882
200,True,10,0.1,2,0.7591903223094146
200,True,10,0.1,3,0.7591903223094146
200,True,10,0.1,10,0.7591903223094146
200,True,100,0.0,2,0.8454593546957062
200,True,100,0.0,3,0.8453364894809351
200,True,100,0.0,10,0.8441694510408803
200,True,100,0.1,2,0.7591903223094146
200,True,100,0.1,3,0.7591903223094146
200,True,100,0.1,10,0.7591903223094146
200,True,200,0.0,2,0.8463807108109781
200,True,200,0.0,3,0.8464114101365205
200,True,200,0.0,10,0.8433402523257619
200,True,200,0.1,2,0.7591903223094146
200,True,200,0.1,3,0.7591903223094146
200,True,200,0.1,10,0.7591903223094146
200,False,,0.0,2,0.8449372312970719
200,False,,0.0,3,0.8462885760483586
200,False,,0.0,10,0.8449679815570654
200,False,,0.1,2,0.7591903223094146
200,False,,0.1,3,0.7591903223094146
200,False,,0.1,10,0.7591903223094146
200,False,10,0.0,2,0.8402690605587025
200,False,10,0.0,3,0.8405454506981028
200,False,10,0.0,10,0.8399005073597651
200,False,10,0.1,2,0.7591903223094146
200,False,10,0.1,3,0.7591903223094146
200,False,10,0.1,10,0.7591903223094146
200,False,100,0.0,2,0.8446301107055202
200,False,100,0.0,3,0.8461350228268119
200,False,100,0.0,10,0.8449679504304565
200,False,100,0.1,2,0.7591903223094146
200,False,100,0.1,3,0.7591903223094146
200,False,100,0.1,10,0.7591903223094146
200,False,200,0.0,2,0.8449064895261534
200,False,200,0.0,3,0.8463192583957505
200,False,200,0.0,10,0.8452136186067806
200,False,200,0.1,2,0.7591903223094146
200,False,200,0.1,3,0.7591903223094146
200,False,200,0.1,10,0.7591903223094146
250,True,,0.0,2,0.8464113733505281
250,True,,0.0,3,0.8461657334711212
250,True,,0.0,10,0.8436780694131644
250,True,,0.1,2,0.7591903223094146
250,True,,0.1,3,0.7591903223094146
250,True,,0.1,10,0.7591903223094146
250,True,10,0.0,2,0.839685521530833
250,True,10,0.0,3,0.8400847910334631
250,True,10,0.0,10,0.8391327072957314
250,True,10,0.1,2,0.7591903223094146
250,True,10,0.1,3,0.7591903223094146
250,True,10,0.1,10,0.7591903223094146
250,True,100,0.0,2,0.8463192612254423
250,True,100,0.0,3,0.8469334939194707
250,True,100,0.0,10,0.8442615716550413
250,True,100,0.1,2,0.7591903223094146
250,True,100,0.1,3,0.7591903223094146
250,True,100,0.1,10,0.7591903223094146
250,True,200,0.0,2,0.8463192782035925
250,True,200,0.0,3,0.8454593518660145
250,True,200,0.0,10,0.843800917649785
250,True,200,0.1,2,0.7591903223094146
250,True,200,0.1,3,0.7591903223094146
250,True,200,0.1,10,0.7591903223094146
250,False,,0.0,2,0.8445994057205942
250,False,,0.0,3,0.8460428852345006
250,False,,0.0,10,0.8452750710220083
250,False,,0.1,2,0.7591903223094146
250,False,,0.1,3,0.7591903223094146
250,False,,0.1,10,0.7591903223094146
250,False,10,0.0,2,0.8408218578156536
250,False,10,0.0,3,0.840361195321322
250,False,10,0.0,10,0.8394091285617408
250,False,10,0.1,2,0.7591903223094146
250,False,10,0.1,3,0.7591903223094146
250,False,10,0.1,10,0.7591903223094146
250,False,100,0.0,2,0.8448450654078433
250,False,100,0.0,3,0.8453672086143196
250,False,100,0.0,10,0.8451829334296969
250,False,100,0.1,2,0.7591903223094146
250,False,100,0.1,3,0.7591903223094146
250,False,100,0.1,10,0.7591903223094146
250,False,200,0.0,2,0.8456742952495707
250,False,200,0.0,3,0.8458893235238788
250,False,200,0.0,10,0.8450293802081502
250,False,200,0.1,2,0.7591903223094146
250,False,200,0.1,3,0.7591903223094146
250,False,200,0.1,10,0.7591903223094146
